id,channel,title,game,viewers,date
98477,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1358,1542683098274
98503,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24689,1542683158989
98509,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",14955,1542683159013
98510,xqcow,NA Streamer plays games,Witch It,13592,1542683159016
98516,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6283,1542683159033
98539,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3363,1542683159121
98582,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1322,1542683159285
98603,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24689,1542683219937
98609,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",14785,1542683219962
98610,xqcow,NA Streamer plays games,Witch It,13606,1542683219965
98616,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6230,1542683219984
98640,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3149,1542683220070
98679,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1322,1542683220210
98703,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24670,1542683280921
98709,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",14606,1542683280944
98710,xqcow,NA Streamer plays games,Witch It,13645,1542683280949
98716,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6230,1542683280973
98740,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3017,1542683281056
98786,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1161,1542683281224
98803,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24634,1542683341856
98809,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",14550,1542683341879
98810,xqcow,NA Streamer plays games,Witch It,13584,1542683341883
98817,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6128,1542683341911
